GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aliyun-java-sdk-core,com.aliyuncs.http,UserAgentConfig,6,157,0,16,2,33,0,14,0,6
aliyun-java-sdk-core,com.aliyuncs.http,CompositeX509TrustManager,0,75,0,6,0,22,0,9,0,6
aliyun-java-sdk-core,com.aliyuncs.http,HttpMessage,0,443,0,30,0,107,0,54,0,39
aliyun-java-sdk-core,com.aliyuncs.http,HttpClientFactory,0,106,0,14,0,26,0,10,0,3
aliyun-java-sdk-core,com.aliyuncs.http,HttpClientConfig,0,280,0,0,0,107,0,55,0,55
aliyun-java-sdk-core,com.aliyuncs.http,HttpRequest,0,26,0,2,0,7,0,4,0,3
aliyun-java-sdk-core,com.aliyuncs.http,MethodType,0,81,0,0,0,11,0,3,0,3
aliyun-java-sdk-core,com.aliyuncs.http,HttpClientType,0,59,0,0,0,9,0,3,0,3
aliyun-java-sdk-core,com.aliyuncs.http,X509TrustAll,0,18,0,0,0,10,0,6,0,6
aliyun-java-sdk-core,com.aliyuncs.http,ProtocolType,0,37,0,0,0,7,0,3,0,3
aliyun-java-sdk-core,com.aliyuncs.http,HttpResponse,0,83,0,6,0,22,0,13,0,10
aliyun-java-sdk-core,com.aliyuncs.http,HttpUtil,0,480,0,34,0,94,0,28,0,11
aliyun-java-sdk-core,com.aliyuncs.http,IHttpClient,0,16,0,2,0,8,0,3,0,2
aliyun-java-sdk-core,com.aliyuncs.http,FormatType,0,115,0,4,0,13,0,6,0,4
aliyun-java-sdk-core,com.aliyuncs.endpoint.location.model.v20150612,DescribeEndpointsRequest,0,41,0,0,0,15,0,8,0,8
aliyun-java-sdk-core,com.aliyuncs.endpoint.location.model.v20150612,DescribeEndpointsResponse,0,28,0,0,0,11,0,8,0,8
aliyun-java-sdk-core,com.aliyuncs.endpoint.location.model.v20150612,DescribeEndpointsResponse.Endpoint,0,45,0,0,0,19,0,13,0,13
aliyun-java-sdk-core,com.aliyuncs,CommonRoaRequest,0,39,0,0,0,13,0,5,0,5
aliyun-java-sdk-core,com.aliyuncs,CommonRequest,0,533,0,40,0,167,0,89,0,69
aliyun-java-sdk-core,com.aliyuncs,AcsErrorUnmarshaller,0,57,0,6,0,7,0,5,0,2
aliyun-java-sdk-core,com.aliyuncs,RoaAcsRequest,0,375,1,31,0,90,1,32,0,17
aliyun-java-sdk-core,com.aliyuncs,DefaultAcsClient,13,910,3,57,1,219,4,62,1,35
aliyun-java-sdk-core,com.aliyuncs,CommonRpcRequest,0,39,0,0,0,13,0,5,0,5
aliyun-java-sdk-core,com.aliyuncs,AcsResponse,0,5,0,0,0,2,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs,AcsRequest,0,411,0,12,0,131,0,62,0,56
aliyun-java-sdk-core,com.aliyuncs,AcsError,0,81,0,0,0,21,0,11,0,11
aliyun-java-sdk-core,com.aliyuncs,RpcAcsRequest,0,323,1,25,0,91,1,27,0,15
aliyun-java-sdk-core,com.aliyuncs,CommonResponse,0,26,0,0,0,11,0,8,0,8
aliyun-java-sdk-core,com.aliyuncs.auth,StaticCredentialsProvider,0,53,0,2,0,14,0,4,0,3
aliyun-java-sdk-core,com.aliyuncs.auth,RoaSignatureComposer,0,391,0,36,0,81,0,27,0,9
aliyun-java-sdk-core,com.aliyuncs.auth,OssSignatureComposer,0,166,0,16,0,35,0,14,0,6
aliyun-java-sdk-core,com.aliyuncs.auth,CredentialsProviderFactory,0,5,0,0,0,2,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs.auth,BasicCredentials,0,29,0,4,0,10,0,5,0,3
aliyun-java-sdk-core,com.aliyuncs.auth,Credential,2,135,1,5,1,48,1,17,0,15
aliyun-java-sdk-core,com.aliyuncs.auth,BearerTokenSigner,0,13,0,0,0,6,0,6,0,6
aliyun-java-sdk-core,com.aliyuncs.auth,DefaultCredentialsProvider,0,116,0,14,0,29,0,14,0,7
aliyun-java-sdk-core,com.aliyuncs.auth,InstanceProfileCredentialsProvider,0,91,0,10,0,23,0,8,0,3
aliyun-java-sdk-core,com.aliyuncs.auth,STSAssumeRoleSessionCredentialsProvider,0,184,1,11,0,46,1,15,0,10
aliyun-java-sdk-core,com.aliyuncs.auth,ECSMetadataServiceCredentialsFetcher,7,212,0,20,2,46,0,18,0,8
aliyun-java-sdk-core,com.aliyuncs.auth,AuthConstant,0,14,0,0,0,2,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs.auth,BasicSessionCredentials,0,81,0,8,0,22,0,10,0,6
aliyun-java-sdk-core,com.aliyuncs.auth,HmacSHA1Signer,21,36,0,0,6,9,0,6,0,6
aliyun-java-sdk-core,com.aliyuncs.auth,SHA256withRSASigner,28,57,0,0,8,16,0,6,0,6
aliyun-java-sdk-core,com.aliyuncs.auth,Signer,0,28,0,4,0,9,0,5,0,3
aliyun-java-sdk-core,com.aliyuncs.auth,ProfileCredentialsProvider,0,332,3,41,0,76,3,27,0,8
aliyun-java-sdk-core,com.aliyuncs.auth,RpcSignatureComposer,6,144,1,7,2,30,1,7,0,4
aliyun-java-sdk-core,com.aliyuncs.auth,CredentialsBackupCompatibilityAdaptor,0,41,0,2,0,14,0,7,0,6
aliyun-java-sdk-core,com.aliyuncs.auth,SystemPropertiesCredentialsProvider,0,29,0,6,0,8,0,5,0,2
aliyun-java-sdk-core,com.aliyuncs.auth,EnvironmentVariableCredentialsProvider,0,41,0,10,0,12,0,7,0,2
aliyun-java-sdk-core,com.aliyuncs.auth,BearerTokenCredentials,0,17,0,0,0,8,0,5,0,5
aliyun-java-sdk-core,com.aliyuncs.auth,AcsURLEncoder,3,21,0,2,1,3,1,3,1,2
aliyun-java-sdk-core,com.aliyuncs.auth,LegacyCredentials,0,14,0,0,0,5,0,3,0,3
aliyun-java-sdk-core,com.aliyuncs.auth,KeyPairCredentials,0,24,0,4,0,8,0,5,0,3
aliyun-java-sdk-core,com.aliyuncs.auth,InstanceProfileCredentials,3,93,2,4,1,21,2,6,0,5
aliyun-java-sdk-core,com.aliyuncs.auth,STSGetSessionAccessKeyCredentialsProvider,0,111,1,5,0,28,1,8,0,6
aliyun-java-sdk-core,com.aliyuncs.reader,JsonReader,57,875,14,96,7,222,12,76,0,22
aliyun-java-sdk-core,com.aliyuncs.reader,XmlReader,26,164,2,14,6,27,2,12,0,6
aliyun-java-sdk-core,com.aliyuncs.reader,ReaderFactory,0,29,0,4,0,6,0,4,0,2
aliyun-java-sdk-core,com.aliyuncs.http.clients,CompatibleUrlConnClient.HttpsCertIgnoreHelper,0,9,0,0,0,5,0,3,0,3
aliyun-java-sdk-core,com.aliyuncs.http.clients,ApacheIdleConnectionCleaner,0,112,1,11,0,40,1,13,0,8
aliyun-java-sdk-core,com.aliyuncs.http.clients,ApacheHttpClient.DefaultAsyncThreadFactory,0,27,0,0,0,3,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs.http.clients,ApacheHttpClient,17,646,3,55,4,142,3,43,0,17
aliyun-java-sdk-core,com.aliyuncs.http.clients,ApacheHttpClient.new ConnectionKeepAliveStrategy() {...},8,22,3,1,1,4,2,2,0,2
aliyun-java-sdk-core,com.aliyuncs.http.clients,ApacheHttpClient.new Callable() {...},12,30,3,1,4,6,2,2,0,2
aliyun-java-sdk-core,com.aliyuncs.http.clients,CompatibleUrlConnClient,19,696,3,77,4,173,3,59,0,22
aliyun-java-sdk-core,com.aliyuncs.transform,UnmarshallerContext,0,169,0,24,0,37,0,28,0,16
aliyun-java-sdk-core,com.aliyuncs.endpoint.location.transform.v20150612,DescribeEndpointsResponseUnmarshaller,0,153,0,4,0,20,0,4,0,2
aliyun-java-sdk-core,com.aliyuncs.endpoint,UserCustomizedEndpointResolver,0,51,0,0,0,10,0,6,0,6
aliyun-java-sdk-core,com.aliyuncs.endpoint,DefaultEndpointResolver,0,121,0,6,0,27,0,9,0,6
aliyun-java-sdk-core,com.aliyuncs.endpoint,EndpointResolverBase,0,56,0,6,0,15,0,8,0,5
aliyun-java-sdk-core,com.aliyuncs.endpoint,LocalConfigGlobalEndpointResolver,0,108,0,10,0,29,0,12,0,7
aliyun-java-sdk-core,com.aliyuncs.endpoint,ResolveEndpointRequest,0,74,0,4,0,27,0,8,0,6
aliyun-java-sdk-core,com.aliyuncs.endpoint,ChainedEndpointResolver,0,181,0,22,0,43,0,16,0,5
aliyun-java-sdk-core,com.aliyuncs.endpoint,UserVpcEndpointResolver,0,40,0,4,0,7,0,7,0,5
aliyun-java-sdk-core,com.aliyuncs.endpoint,EndpointResolverRules,47,167,7,19,7,37,11,9,4,3
aliyun-java-sdk-core,com.aliyuncs.endpoint,LocalConfigRegionalEndpointResolver,1,379,1,31,0,83,1,29,0,14
aliyun-java-sdk-core,com.aliyuncs.endpoint,InternalLocationServiceEndpointResolver,0,10,0,0,0,4,0,1,0,1
aliyun-java-sdk-core,com.aliyuncs.endpoint,LocationServiceEndpointResolver,18,297,5,33,4,69,5,23,0,9
aliyun-java-sdk-core,com.aliyuncs.auth.sts,AssumeRoleResponse,0,28,0,0,0,11,0,8,0,8
aliyun-java-sdk-core,com.aliyuncs.auth.sts,GenerateSessionAccessKeyResponse.SessionAccessKey,0,24,0,0,0,10,0,7,0,7
aliyun-java-sdk-core,com.aliyuncs.auth.sts,AssumeRoleResponse.Credentials,0,31,0,0,0,13,0,9,0,9
aliyun-java-sdk-core,com.aliyuncs.auth.sts,GetSessionAccessKeyResponseUnmarshaller,0,32,0,0,0,8,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs.auth.sts,AssumeRoleResponse.AssumedRoleUser,0,17,0,0,0,7,0,5,0,5
aliyun-java-sdk-core,com.aliyuncs.auth.sts,AssumeRoleRequest,0,56,0,0,0,20,0,10,0,10
aliyun-java-sdk-core,com.aliyuncs.auth.sts,AssumeRoleResponseUnmarshaller,0,54,0,0,0,13,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs.auth.sts,GenerateSessionAccessKeyResponse,0,21,0,0,0,8,0,6,0,6
aliyun-java-sdk-core,com.aliyuncs.auth.sts,GetSessionAccessKeyRequest,0,41,0,0,0,15,0,7,0,7
aliyun-java-sdk-core,com.aliyuncs.exceptions,ErrorMessageConstant,0,3,0,0,0,1,0,1,0,1
aliyun-java-sdk-core,com.aliyuncs.exceptions,ErrorType,0,44,0,0,0,5,0,1,0,1
aliyun-java-sdk-core,com.aliyuncs.exceptions,ClientException,0,122,0,2,0,33,0,15,0,14
aliyun-java-sdk-core,com.aliyuncs.exceptions,ServerException,0,16,0,0,0,6,0,2,0,2
aliyun-java-sdk-core,com.aliyuncs.exceptions,ErrorCodeConstant,0,3,0,0,0,1,0,1,0,1
aliyun-java-sdk-core,com.aliyuncs.regions,ProductDomain,0,23,0,0,0,10,0,5,0,5
aliyun-java-sdk-core,com.aliyuncs.profile,DefaultProfile,0,263,0,8,0,69,0,35,0,31
aliyun-java-sdk-core,com.aliyuncs.utils,LogUtils.LogUnit,7,278,2,8,1,55,4,42,2,39
aliyun-java-sdk-core,com.aliyuncs.utils,LogUtils,0,221,1,9,0,54,1,12,0,8
aliyun-java-sdk-core,com.aliyuncs.utils,FlattenMapUtil,0,548,0,70,0,121,0,44,0,9
aliyun-java-sdk-core,com.aliyuncs.utils,EnvironmentUtils,2,44,1,7,0,18,1,10,0,7
aliyun-java-sdk-core,com.aliyuncs.utils,Base64Helper,0,1367,0,24,0,47,0,18,0,6
aliyun-java-sdk-core,com.aliyuncs.utils,ParameterHelper,0,289,0,26,0,61,0,24,0,11
aliyun-java-sdk-core,com.aliyuncs.utils,XmlUtils,0,118,0,18,0,33,0,14,0,5
aliyun-java-sdk-core,com.aliyuncs.utils,IOUtils,0,10,0,2,0,6,0,3,0,2
aliyun-java-sdk-core,com.aliyuncs.utils,AuthUtils,6,110,2,14,4,43,2,20,0,14
aliyun-java-sdk-core,com.aliyuncs.utils,StringUtils,0,12,0,4,0,2,0,4,0,2
aliyun-java-sdk-core,com.aliyuncs.unmarshaller,JsonUnmashaller,0,37,0,0,0,6,0,3,0,3
aliyun-java-sdk-core,com.aliyuncs.unmarshaller,UnmarshallerFactory,0,28,0,3,0,5,0,4,0,2
aliyun-java-sdk-core,com.aliyuncs.unmarshaller,XmlUnmashaller,0,48,0,0,0,8,0,3,0,3
